ID,Title,Publication Date,Language,Published In,Is Open Access,Open Access Status,URL,Type,Authors
W100367925,Compact and efficient representations of graphs,2014-01-01,es,,false,closed,https://dialnet.unirioja.es/servlet/tesis?codigo=43866,dissertation,Sandra Álvarez García
W1011042946,Inexact graph matching for fingerprint classification,1999-01-01,en,Machine Graphics and Vision,false,closed,https://www.infona.pl/resource/bwmeta1.element.baztech-article-BWA1-0001-0585,journal,"Davide Maltoni,Alessandra Lumini,Dario Maio"
W1013519597,Parallel k nearest neighbor graph construction using tree-based data structures,2015-01-01,en,,true,hybrid,https://upcommons.upc.edu/bitstream/2117/76382/1/hpgm_15_1.pdf,article,"Kate McArdle,Nazneen Fatema Rajani,Inderjit S. Dhillon"
W101693801,Multi edges graphs for Multivariate Markov chains,2009-01-01,en,,false,closed,https://aisberg.unibg.it/handle/10446/23509,article,"Sabrina Giordano,Roberto Colombi"
W1019058483,A Scalable Parallel Approach for Subgraph Census Computation,2014-01-01,en,Lecture notes in computer science,false,closed,http://repositorio.inesctec.pt/bitstreams/d53ee23c-82ea-4c5d-89ee-e6f8ba72021f/download,book series,"Pedro Ribeiro,Pedro Paredes,David Aparício"
W102881553,All graphs have cycle separators and planar directed depth-first search is in DNC (preliminary version),1988-08-01,en,Springer eBooks,false,closed,https://dl.acm.org/citation.cfm?id=61170,ebook platform,M.-Y. Kao
W103174755,Progress on tough graphs - Another four years,1996-01-01,en,,false,closed,https://research.utwente.nl/en/publications/progress-on-tough-graphs-another-four-years,article,"E. F. Schmeichel,Douglas C. Bauer,H.J. Veldman"
W1033432943,Algorithmic approach to some intersection graphs,2005-10-01,en,INFLIBNET,false,closed,https://shodhganga.inflibnet.ac.in/handle/10603/6675,repository,A Benedict Mary
W1037539619,Representing graphs and maps,2009-07-09,en,Cambridge University Press eBooks,false,closed,https://doi.org/10.1017/cbo9781139087223.011,ebook platform,"Tomaž Pisanski,Arjana Žitnik"
W1039385342,All-Pairs Shortest Path algorithms for planar graph for GPU-accelerated clusters,2015-07-22,en,Journal of Parallel and Distributed Computing,true,bronze,https://www.sciencedirect.com/science/article/am/pii/S0743731515001069,journal,"Hristo Djidjev,Guillaume Chapuis,Dominique Lavenier,Sunil Thulasidasan,Rumen Andonov"
W1040111599,"Fast, exact graph diameter computation with vertex programming",2015-01-01,en,,true,hybrid,https://upcommons.upc.edu/bitstream/2117/76371/1/hpgm_15_2.pdf,article,"Tim Weninger,Corey Pennycuff"
W104109059,On the complexity of the subgraph problem,1985-01-01,en,Commentationes Mathematicae Universitatis Carolinae,false,closed,https://dml.cz/handle/10338.dmlcz/106381,journal,"Jaroslav Nešetřil,Svatopluk Poljak"
W1043866735,GraSP: distributed streaming graph partitioning,2015-01-01,en,,true,hybrid,https://upcommons.upc.edu/bitstream/2117/76383/1/hpgm_15_3.pdf,article,"Casey Battaglino,Richard Vuduc,Pienta Pienta"
W104982740,Computing by graph transformation: Overall aims and new results,2005-11-22,en,Springer eBooks,false,closed,https://doi.org/10.1007/bfb0017422,ebook platform,"M. J. S. Lowe,Hartmut Ehrig"
W107194925,Minimal realization of an assigned graph,1971-03-01,en,Cybernetics,false,closed,https://doi.org/10.1007/bf01071807,journal,L. S. Presman
W107790154,Optimizing graph algorithms on pregel-like systems,2014-03-01,en,Proceedings of the VLDB Endowment,true,green,http://www.vldb.org/pvldb/vol7/p577-salihoglu.pdf,journal,"Semih Salihoğlu,Jennifer Widom"
W107817917,Modelisation calligraphique de formes moleculaires electroniques et geometriques dans une structure grille,1987-01-01,fr,,false,closed,http://www.theses.fr/1987PA077264,dissertation,Shi Yi Yue
W10803702,Query complex graph patterns,2014-04-07,en,,false,closed,https://doi.org/10.1145/2567948.2579029,article,Hanghang Tong
W108436809,Lexicographically Optimum Traffic Trees with Maximum Degree Constraints.,2001-01-01,en,Ars Combinatoria,false,closed,https://dblp.uni-trier.de/db/journals/arscom/arscom61.html#Anazawa01,journal,Tsutomu Anazawa
W108476200,Normalizing conceptual graphs,1992-01-03,ro,Ellis Horwood eBooks,false,closed,https://dl.acm.org/citation.cfm?id=168908,ebook platform,Guy W. Mineau
W109582950,Accelerating graph algorithms with priority queue processor,2006-07-26,en,,false,closed,http://eprints.utm.my/id/eprint/1689/,article,"Mohamed Khalil Hani,Chew Eik Wee,Chíng Heng Sun,Nasir Shaikh-Husin"
W109909672,"Mining tera-scale graphs: theory, engineering and discoveries",2012-01-01,en,,false,closed,http://repository.cmu.edu/dissertations/160/,article,"U Kang,Christos Faloutsos"
W110317595,Cycle embedding in alternating group graphs with faulty vertices and faulty edges,2010-01-01,en,Cologne Twente Workshop on Graphs and Combinatorial Optimization,false,closed,https://dblp.uni-trier.de/db/conf/colognetwente/colognetwente2010.html#Tsai10,conference,Ping‐Ying Tsai
W1119271022,Reducing off-chip memory accesses of wavefront parallel programs in graphics processing units,2007-01-03,en,,false,closed,http://mountainscholar.org/handle/10217/88551,dissertation,Waruna Ranasinghe
W1130801135,Recognize multi-touch gestures by graph modeling and matching,2015-06-21,en,HAL (Le Centre pour la Communication Scientifique Directe),true,green,https://hal.univ-antilles.fr/hal-01165768/document,repository,"Zhaoxin Chen,Christian Viard-Gaudin,Éric Anquetil,Harold Mouchère"
W113524203,GVC: a graph-based Information Retrieval Mode.,2008-01-01,en,CORIA,false,closed,https://doi.org/10.24348/coria.2008.337,journal,"Josiane Mothe,Quoc Dinh Truong,Taoufiq Dkaki,Pierre‐Jean Charrel"
W1137012760,A New Method Based on Graph Transformation for FAS Mining in Multi-graph Collections,2015-01-01,en,Lecture notes in computer science,true,bronze,https://link.springer.com/content/pdf/10.1007/978-3-319-19264-2_2.pdf,book series,"José Fco. Martínez-Trinidad,Jesús Ariel Carrasco-Ochoa,Niusvel Acosta-Mendoza,José E. Medina-Pagola,Andrés Gago-Alonso"
W1141755464,Algorithmic graph theory,2000-01-01,en,Elsevier eBooks,false,closed,https://doi.org/10.1016/b978-012470505-0/50008-3,ebook platform,"Yazid M. Sharaiha,Stéphane Marchand‐Maillet"
W114233904,On k- path traceable graphs,1988-01-01,en,"Journal of automata, languages and combinatorics",false,closed,https://dblp.uni-trier.de/db/journals/eik/eik24.html#Schaar88,journal,Günter Schaar
